cluster_id,canonical_predicate,paraphrases,size,domain_signature,range_signature,inverse_candidates
-1,NOISE/UNKNOWN,"['APl specification and/or standard has_condition_OR', 'below the average value specified has_condition_OR', 'has_case', 'has_condition', 'has_condition_AND', 'has_condition_OR', 'has_condition_or', 'has_consequence', 'has_consequence_AND', 'has_footnote', 'less than the minimum energy value specified for a single specimen has_condition_OR', 'material as specified by the APl specification and/or standard has_consequence', 'may be made has_consequence', 'shall_be_stenciled has_consequence', 'against', 'authorizes_provision_of', 'considered_as', 'constitutes', 'contained_in', 'covers', 'deemed_to_satisfy', 'described_in', 'designated_by', 'details', 'determined_by', 'equivalent_to', 'evolved_from', 'except_for', 'furnished_under', 'given_to', 'has_discretion_over', 'has_minimum_reduction_of_area', 'has_minimum_thickness', 'has_verified', 'hosts', 'in_lieu_of', 'indispensable_for', 'is_a', 'is_not_a_substitute_for', 'is_site_specific', 'joined_to', 'judged_to_be_caused_by', 'known_for', 'listed_on', 'machined_to', 'maintains', 'marked_in_conjunction_with', 'measured_by', 'monogrammed_by', 'nonconforming_with', 'normal_to', 'owned_by', 'permits_use_of', 'prepared_at', 'provided_by', 'provides_suggestions', 'related_to', 'represented_by', 'requires', 'responsible_for', 'satisfies', 'set_forth_in', 'shall_lie_within', 'shows', 'solicits_information_on', 'specified_by', 'stands_for', 'successfully_completed', 'uniformly_strained', 'used_in_close_proximity_to', 'utilizes']",71,"[{'type_id': 13, 'label': 'case24', 'count': 628, 'ratio': 0.6324}, {'type_id': -1, 'label': 'UNK', 'count': 312, 'ratio': 0.3142}, {'type_id': 9, 'label': 'ASTM A370', 'count': 6, 'ratio': 0.006}, {'type_id': 50, 'label': 'SR = SR9', 'count': 5, 'ratio': 0.005}, {'type_id': 8, 'label': 'steel plates', 'count': 4, 'ratio': 0.004}]","[{'type_id': -1, 'label': 'UNK', 'count': 350, 'ratio': 0.3525}, {'type_id': 13, 'label': 'case24', 'count': 133, 'ratio': 0.1339}, {'type_id': 49, 'label': 'grade = Grade 70', 'count': 113, 'ratio': 0.1138}, {'type_id': 29, 'label': '0.50', 'count': 72, 'ratio': 0.0725}, {'type_id': 22, 'label': 'Nickel, max', 'count': 40, 'ratio': 0.0403}]","[{'relation': 'utilizes', 'score': 29.9286}, {'relation': 'section_title', 'score': 24.8179}, {'relation': 'used_to_order', 'score': 23.982}, {'relation': 'specified_by', 'score': 4.39}, {'relation': 'acceptable_to', 'score': 4.0}]"
24,satisfies_requirements_of,"['establishes_requirements_for', 'has_required_test', 'meets_requirements', 'meets_requirements_of', 'not_intended_to_require', 'not_required_by', 'required_in_addition_to', 'required_to_be', 'required_to_comply_with', 'satisfies_requirements_of', 'satisfy_requirements_of']",11,"[{'type_id': -1, 'label': 'UNK', 'count': 9, 'ratio': 0.75}, {'type_id': 41, 'label': 'API Monogram and its designated license number', 'count': 2, 'ratio': 0.1667}, {'type_id': 7, 'label': 'products', 'count': 1, 'ratio': 0.0833}]","[{'type_id': -1, 'label': 'UNK', 'count': 11, 'ratio': 0.9167}, {'type_id': 36, 'label': 'the requirements of APi Spec Q1', 'count': 1, 'ratio': 0.0833}]","[{'relation': 'utilizes', 'score': 8.7071}, {'relation': 'section_title', 'score': 8.0}, {'relation': 'used_to_order', 'score': 8.0}, {'relation': 'shall_control', 'score': 2.0}, {'relation': 'responsible_for', 'score': 1.7071}]"
47,made_by,"['authored_by', 'caused_by', 'made_by', 'made_of', 'modified_by', 'modified_version_of', 'paid_by', 'produced_by']",8,"[{'type_id': -1, 'label': 'UNK', 'count': 17, 'ratio': 0.6538}, {'type_id': 4, 'label': 'non-recrystallization region of austenite', 'count': 4, 'ratio': 0.1538}, {'type_id': 8, 'label': 'steel plates', 'count': 2, 'ratio': 0.0769}, {'type_id': 16, 'label': 'nameplates', 'count': 1, 'ratio': 0.0385}, {'type_id': 7, 'label': 'products', 'count': 1, 'ratio': 0.0385}]","[{'type_id': -1, 'label': 'UNK', 'count': 23, 'ratio': 0.8846}, {'type_id': 5, 'label': 'thermo-mechanical rolling', 'count': 1, 'ratio': 0.0385}, {'type_id': 3, 'label': 'Accelerated cooling', 'count': 1, 'ratio': 0.0385}, {'type_id': 39, 'label': 'Column = Thermo-Mechanical Control Processes - A R', 'count': 1, 'ratio': 0.0385}]","[{'relation': 'utilizes', 'score': 6.5}, {'relation': 'section_title', 'score': 6.0}, {'relation': 'used_to_order', 'score': 6.0}, {'relation': 'details', 'score': 1.0}, {'relation': 'includes_component', 'score': 0.9614}]"
15,applied_to,"['applied_by', 'applied_to', 'applies_to', 'converted_to', 'may_be_applied_during', 'tested_to']",6,"[{'type_id': -1, 'label': 'UNK', 'count': 45, 'ratio': 0.7895}, {'type_id': 55, 'label': 'shall not be licensed under the API Monogram Program', 'count': 5, 'ratio': 0.0877}, {'type_id': 45, 'label': 'this procedure for through-thickness testing', 'count': 3, 'ratio': 0.0526}, {'type_id': 1, 'label': 'latest edition of the referenced document', 'count': 1, 'ratio': 0.0175}, {'type_id': 41, 'label': 'API Monogram and its designated license number', 'count': 1, 'ratio': 0.0175}]","[{'type_id': -1, 'label': 'UNK', 'count': 42, 'ratio': 0.7368}, {'type_id': 8, 'label': 'steel plates', 'count': 3, 'ratio': 0.0526}, {'type_id': 45, 'label': 'this procedure for through-thickness testing', 'count': 2, 'ratio': 0.0351}, {'type_id': 49, 'label': 'grade = Grade 70', 'count': 2, 'ratio': 0.0351}, {'type_id': 55, 'label': 'shall not be licensed under the API Monogram Program', 'count': 1, 'ratio': 0.0175}]","[{'relation': 'utilizes', 'score': 3.9916}, {'relation': 'section_title', 'score': 3.9916}, {'relation': 'used_to_order', 'score': 3.9916}, {'relation': 'maintains', 'score': 2.0}, {'relation': 'used_in_close_proximity_to', 'score': 2.0}]"
39,in_accordance_with,"['conducted_in_accordance_with', 'in_accordance_with', 'manufactured_in_accordance_with', 'performed_in_accordance_with', 'tested_in_accordance_with']",5,"[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 0.4444}, {'type_id': 8, 'label': 'steel plates', 'count': 2, 'ratio': 0.2222}, {'type_id': 6, 'label': 'specific testing required', 'count': 1, 'ratio': 0.1111}, {'type_id': 33, 'label': 'drop-weight tests', 'count': 1, 'ratio': 0.1111}, {'type_id': 14, 'label': 'specimens', 'count': 1, 'ratio': 0.1111}]","[{'type_id': -1, 'label': 'UNK', 'count': 6, 'ratio': 0.6667}, {'type_id': 9, 'label': 'ASTM A370', 'count': 3, 'ratio': 0.3333}]","[{'relation': 'utilizes', 'score': 1.8536}, {'relation': 'used_to_order', 'score': 1.8536}, {'relation': 'stands_for', 'score': 1.6352}, {'relation': 'normal_to', 'score': 1.0}, {'relation': 'section_title', 'score': 1.0}]"
33,shall_be_marked,"['shall_be_included_in', 'shall_be_marked', 'shall_be_marked_as', 'shall_be_marked_with']",4,"[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 0.6667}, {'type_id': 49, 'label': 'grade = Grade 70', 'count': 2, 'ratio': 0.3333}]","[{'type_id': -1, 'label': 'UNK', 'count': 6, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 2.8536}, {'relation': 'section_title', 'score': 2.0}, {'relation': 'used_to_order', 'score': 2.0}, {'relation': 'applies_to', 'score': 1.3915}, {'relation': 'may_perform', 'score': 0.8536}]"
43,may_do,"['may_also_include', 'may_do', 'may_incorporate', 'may_perform']",4,"[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 0.8}, {'type_id': 5, 'label': 'thermo-mechanical rolling', 'count': 1, 'ratio': 0.2}]","[{'type_id': -1, 'label': 'UNK', 'count': 5, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 3.5}, {'relation': 'section_title', 'score': 3.0}, {'relation': 'used_to_order', 'score': 3.0}, {'relation': 'stands_for', 'score': 0.5527}, {'relation': 'shows', 'score': 0.5}]"
46,defined_by,"['assessed_by', 'calculated_by', 'defined_as', 'defined_by']",4,"[{'type_id': -1, 'label': 'UNK', 'count': 7, 'ratio': 0.875}, {'type_id': 7, 'label': 'products', 'count': 1, 'ratio': 0.125}]","[{'type_id': -1, 'label': 'UNK', 'count': 7, 'ratio': 0.875}, {'type_id': 55, 'label': 'shall not be licensed under the API Monogram Program', 'count': 1, 'ratio': 0.125}]","[{'relation': 'utilizes', 'score': 3.9487}, {'relation': 'section_title', 'score': 3.0}, {'relation': 'used_to_order', 'score': 3.0}, {'relation': 'applies_to', 'score': 0.9569}, {'relation': 'section_of', 'score': 0.9487}]"
3,section_of,"['part_of', 'section_of', 'section_title']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 3.0}, {'relation': 'used_to_order', 'score': 3.0}, {'relation': 'section_title', 'score': 2.0}, {'relation': 'shall_be_included_in', 'score': 1.0}]"
4,removed_from,"['removed_by', 'removed_from', 'taken_from']",3,"[{'type_id': 14, 'label': 'specimens', 'count': 4, 'ratio': 0.6667}, {'type_id': 8, 'label': 'steel plates', 'count': 1, 'ratio': 0.1667}, {'type_id': -1, 'label': 'UNK', 'count': 1, 'ratio': 0.1667}]","[{'type_id': 12, 'label': 'mid-width location of the plate', 'count': 4, 'ratio': 0.6667}, {'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 0.3333}]","[{'relation': 'represented_by', 'score': 1.1325}, {'relation': 'normal_to', 'score': 1.0}, {'relation': 'applies_to', 'score': 0.539}, {'relation': 'shows', 'score': 0.5}]"
5,combined_with,"['combined_with', 'complies_with', 'includes_component']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 22, 'ratio': 0.7097}, {'type_id': 5, 'label': 'thermo-mechanical rolling', 'count': 3, 'ratio': 0.0968}, {'type_id': 3, 'label': 'Accelerated cooling', 'count': 2, 'ratio': 0.0645}, {'type_id': 6, 'label': 'specific testing required', 'count': 2, 'ratio': 0.0645}, {'type_id': 1, 'label': 'latest edition of the referenced document', 'count': 1, 'ratio': 0.0323}]","[{'type_id': -1, 'label': 'UNK', 'count': 23, 'ratio': 0.7419}, {'type_id': 3, 'label': 'Accelerated cooling', 'count': 4, 'ratio': 0.129}, {'type_id': 4, 'label': 'non-recrystallization region of austenite', 'count': 3, 'ratio': 0.0968}, {'type_id': 40, 'label': 'license', 'count': 1, 'ratio': 0.0323}]","[{'relation': 'utilizes', 'score': 1.9903}, {'relation': 'used_to_order', 'score': 1.9903}, {'relation': 'used_for', 'score': 1.9603}, {'relation': 'section_title', 'score': 1.0}, {'relation': 'stands_for', 'score': 0.9685}]"
6,conform_to,"['conform_to', 'conforms_in_every_detail_to', 'conforms_to']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 9, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 6, 'ratio': 0.6667}, {'type_id': 36, 'label': 'the requirements of APi Spec Q1', 'count': 2, 'ratio': 0.2222}, {'type_id': 2, 'label': 'Table 4', 'count': 1, 'ratio': 0.1111}]","[{'relation': 'utilizes', 'score': 2.8333}, {'relation': 'used_to_order', 'score': 2.8333}, {'relation': 'section_title', 'score': 2.0}, {'relation': 'section_of', 'score': 0.8333}]"
7,permitted_to,"['acceptable_to', 'permitted_to', 'prohibited_from']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 0.8}, {'type_id': 1, 'label': 'latest edition of the referenced document', 'count': 1, 'ratio': 0.2}]","[{'type_id': -1, 'label': 'UNK', 'count': 5, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 2.0}, {'relation': 'section_title', 'score': 2.0}, {'relation': 'used_to_order', 'score': 2.0}, {'relation': 'applies_to', 'score': 0.5107}, {'relation': 'should_specify_on_purchase_order', 'score': 0.5}]"
8,licenses,"['authorized_for_licensing_by', 'documents', 'licenses']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 0.6667}, {'type_id': 0, 'label': 'API Board of Directors', 'count': 1, 'ratio': 0.3333}]","[{'relation': 'utilizes', 'score': 2.0}, {'relation': 'section_title', 'score': 2.0}, {'relation': 'used_to_order', 'score': 2.0}, {'relation': 'acceptable_to', 'score': 0.5}, {'relation': 'measured_by', 'score': 0.5}]"
14,should_specify_on_purchase_order,"['should_specify_information_on', 'should_specify_on_purchase_order', 'specified_on_when_placing_orders']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 3.0}, {'relation': 'section_title', 'score': 3.0}, {'relation': 'used_to_order', 'score': 3.0}]"
16,has_maximum_content,"['can_exceed', 'has_maximum_content', 'has_maximum_depth']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 3.0}, {'relation': 'section_title', 'score': 3.0}, {'relation': 'used_to_order', 'score': 3.0}]"
17,has_minimum_service_temperature,"['has_minimum_average_energy_value', 'has_minimum_service_temperature', 'has_temperature_range']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 3.0}, {'relation': 'section_title', 'score': 3.0}, {'relation': 'used_to_order', 'score': 3.0}]"
18,has_less_toughness_than,"['exhibit_reduced_toughness', 'has_hardness_range', 'has_less_toughness_than']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 3.0}, {'relation': 'section_title', 'score': 3.0}, {'relation': 'used_to_order', 'score': 3.0}]"
